code_commune,department_code,name,centroid_lon,centroid_lat,address_count,postal_codes,min_lon,min_lat,max_lon,max_lat
80102,80,Biaches,2.9108724029126214,49.923416970873774,206,80200,2.89642,49.916505,2.929275,49.937977
80103,80,Biarre,2.880246196078432,49.72240680392157,51,80190,2.878297,49.720172,2.882766,49.723906
80104,80,Biencourt,1.6915900923076923,49.97470146153845,65,80140,1.687564,49.971651,1.6963,49.979044
80105,80,Billancourt,2.893805588235294,49.73646655882352,102,80190,2.889479,49.734542,2.91435,49.749932
80106,80,Blangy-sous-Poix,2.0025126666666666,49.76679657471263,87,80290,1.996983,49.763249,2.007268,49.771272
80107,80,Blangy-Tronville,2.422072212927759,49.878846547528546,263,80440,2.407262,49.867717,2.434633,49.883119
80108,80,Boisbergues,2.2296371999999995,50.154588319999995,50,80600,2.222482,50.151,2.235048,50.159798
80109,80,Le Boisle,1.9841107933884297,50.27247395867768,242,80150,1.964501,50.258858,1.998264,50.282231
80110,80,Boismont,1.6690350091463426,50.159782975609744,328,80230,1.647762,50.138237,1.702164,50.174744
80112,80,Bonnay,2.5111822439024403,49.93541742276424,123,80800,2.503007,49.930123,2.51617,49.958973
80113,80,Bonneville,2.248131540880504,50.08164042138365,159,80670,2.238422,50.0786,2.25635,50.086463
80114,80,Bosquel,2.2187412087912097,49.73882884065935,182,80160,2.210675,49.732669,2.226531,49.742844
80115,80,Bouchavesnes-Bergen,2.919332913669066,49.98424679856112,139,80200,2.914224,49.98083,2.924082,49.988254
80116,80,Bouchoir,2.673900748466258,49.748544061349705,163,80910,2.658568,49.745413,2.680267,49.752454
80117,80,Bouchon,2.029120413793104,50.03478277011496,87,80830,2.023791,50.028485,2.033445,50.037535
80118,80,Boufflers,2.0207873974358974,50.26255410256412,78,80150,2.011627,50.258297,2.034911,50.267204
80119,80,Bougainville,2.0420382972972995,49.86974744594596,296,80540,2.037561,49.866221,2.055488,49.873653
80120,80,Bouillancourt-en-Séry,1.6353690788643533,49.95787239747633,317,80220,1.606808,49.945833,1.661753,49.968451
80121,80,Bouillancourt-la-Bataille,2.5315482235294122,49.69471437647061,85,80500,2.521988,49.690081,2.538935,49.698048
80122,80,Bouquemaison,2.33857529535865,50.213039042194076,237,80600,2.331239,50.204367,2.34675,50.222615
80123,80,Bourdon,2.075373583333332,49.98730314444444,180,80310,2.067511,49.981365,2.083723,49.99186
80124,80,Bourseville,1.521404980815347,50.103323959232576,417,80130,1.500936,50.094474,1.535472,50.114518
80125,80,Boussicourt,2.575435575,49.703931850000004,40,80500,2.572605,49.702524,2.578883,49.704981
80126,80,Bouttencourt,1.620198464088397,49.941536983425465,543,80220,1.588612,49.930498,1.646736,49.958424
80127,80,Bouvaincourt-sur-Bresle,1.4900563495934953,50.029691918699186,369,80220,1.480069,50.018674,1.513988,50.035806
80128,80,Bouvincourt-en-Vermandois,3.041280037974684,49.89267496202531,79,80200,3.036822,49.889437,3.043868,49.895548
80129,80,Bouzincourt,2.6112892737226274,50.02569218613139,274,80300,2.598559,50.020316,2.617663,50.030064
80130,80,Bovelles,2.144478730392158,49.88263583333335,204,80540,2.138858,49.880351,2.150828,49.886393
80131,80,Boves,2.389981038147138,49.84826297615806,1468,80440,2.34849,49.828008,2.405032,49.86766
80132,80,Braches,2.506615592920354,49.733632132743345,113,80110,2.50132,49.716017,2.509001,49.742376
80133,80,Brailly-Cornehotte,1.95744496124031,50.2187665968992,129,80150,1.938899,50.210654,1.972326,50.243003
80134,80,Brassy,2.0438836851851856,49.729431203703726,54,80160,2.039256,49.727364,2.046175,49.731391
80135,80,Bray-lès-Mareuil,1.8569952929936304,50.05439784076433,157,80580,1.846008,50.051652,1.86777,50.058848
80136,80,Bray-sur-Somme,2.7179319777448057,49.94089440059347,674,80340,2.704943,49.93099,2.74304,49.96787
80137,80,Breilly,2.1796373641791065,49.93294660298505,335,80470,2.15707,49.909802,2.188098,49.936952
80138,80,Bresle,2.557511829545455,49.983396363636366,88,80300,2.555755,49.980406,2.560183,49.988234
80139,80,Breuil,2.955306323529411,49.738082647058825,34,80400,2.951315,49.737039,2.957553,49.740159
80140,80,Brévillers,2.376620754716981,50.21595843396227,53,80600,2.373192,50.214318,2.381632,50.217872
80141,80,Brie,2.932395085714285,49.87633569714287,175,80200,2.927667,49.872769,2.941024,49.880072
80142,80,Briquemesnil-Floxicourt,2.0853955583756347,49.88349986802032,197,80540,2.06662,49.880507,2.092668,49.887345
80143,80,Brocourt,1.8217546760563377,49.8544071971831,71,80430,1.817291,49.851159,1.824676,49.856636
80144,80,Brouchy,3.098085888489209,49.72223762230217,278,80400,3.091004,49.713867,3.105773,49.731849
80145,80,Brucamps,2.057124000000001,50.073010746478886,71,80690,2.053018,50.068508,2.059258,50.077187
80146,80,Brutelles,1.5223235500000003,50.14059492500001,120,80230,1.507485,50.13475,1.529423,50.146133
80147,80,Buigny-l'Abbé,1.935235157894737,50.098166491228085,171,80132,1.92565,50.087187,1.943577,50.10172
80148,80,Buigny-lès-Gamaches,1.56646657746479,50.023263399061044,213,80220,1.556806,50.015289,1.572373,50.032435
80149,80,Buigny-Saint-Maclou,1.8151630507246377,50.15291264492753,276,80132,1.800165,50.136056,1.831217,50.161485
80150,80,Buire-Courcelles,3.0100931682242997,49.92623557009344,107,80200,2.985344,49.91717,3.032068,49.935006
80151,80,Buire-sur-l'Ancre,2.5921826645962724,49.96486762111802,161,80300,2.58531,49.961043,2.598794,49.969172
80152,80,Bus-la-Mésière,2.7150452613636364,49.63721457954548,88,80700,2.711786,49.63456,2.719838,49.639361
80153,80,Bus-lès-Artois,2.5422225436893204,50.10293444660195,103,80560,2.536104,50.099385,2.548039,50.106522
80154,80,Bussu,2.9773344636363634,49.94580690909095,110,80200,2.972221,49.942804,2.994089,49.949687
80155,80,Bussus-Bussuel,1.988831663157895,50.10727430526318,285,80135,1.970029,50.096018,2.009255,50.113851
80156,80,Bussy-lès-Daours,2.43138603409091,49.90899458522722,176,80800,2.425374,49.905619,2.435724,49.91219
80157,80,Bussy-lès-Poix,2.0177259090909097,49.82027495454545,44,80290,2.013853,49.81907,2.020534,49.823555
80158,80,Buverchy,2.9698047142857136,49.73099009523809,21,80400,2.967577,49.72785,2.97155,49.732851
80159,80,Cachy,2.480173689999999,49.85267917500001,200,80800,2.472688,49.849193,2.48429,49.869668
80160,80,Cagny,2.3441404732965014,49.85990338858202,543,80330,2.331128,49.850522,2.354251,49.864413
80161,80,Cahon,1.725818820895522,50.12172761194029,134,80132,1.720174,50.116497,1.742798,50.1356
80162,80,Caix,2.64666579805353,49.81647011435521,411,80170,2.636582,49.810938,2.664644,49.824458
80163,80,Cambron,1.7704764797136037,50.11277807159908,419,80132,1.761622,50.1075,1.791366,50.124431
80164,80,Camon,2.3459689690355288,49.892968049746194,1970,80450,2.333383,49.883619,2.381183,49.922257
80165,80,Camps-en-Amiénois,1.9694324841269844,49.88012822222222,126,80540,1.963723,49.876598,1.97883,49.883717
80166,80,Canaples,2.21886331767956,50.055985682320454,362,80670,2.205208,50.048926,2.24028,50.068212
80167,80,Canchy,1.8778523416149064,50.186338372670825,161,80150,1.873099,50.181623,1.884283,50.191723
80168,80,Candas,2.261136392720305,50.107411314176204,522,80750,2.246839,50.082386,2.295121,50.11951
80169,80,Cannessières,1.7654266874999998,49.939070770833325,48,80140,1.761542,49.936813,1.768539,49.941083
80170,80,Cantigny,2.4915795517241386,49.663610000000006,58,80500,2.488364,49.661807,2.497074,49.668875
80171,80,Caours,1.8767533793103435,50.12765549042147,261,80132,1.864143,50.120493,1.887011,50.134602
80172,80,Cappy,2.7564654088397784,49.927563096685084,362,80340,2.741809,49.922745,2.792237,49.933113
80173,80,Cardonnette,2.3596758908296946,49.95258231441047,229,80260,2.354582,49.945212,2.367279,49.956519
80174,80,Le Cardonnois,2.479009769230769,49.62779756410255,39,80500,2.474968,49.626886,2.48196,49.629925
80176,80,Carrépuis,2.8215992047244094,49.70505363779527,127,80700,2.813039,49.702806,2.827602,49.708485
80177,80,Cartigny,3.0136378391420897,49.913634359249365,373,80200,3.00078,49.901152,3.044784,49.92302
80179,80,Caulières,1.8885262631578943,49.77991806015037,133,80290,1.883461,49.777068,1.895275,49.782522
80180,80,Cavillon,2.082466885245901,49.92169126229509,61,80310,2.05789,49.918562,2.0869,49.924544
80181,80,Cayeux-en-Santerre,2.5994738571428573,49.81995942857144,49,80800,2.596282,49.813226,2.602444,49.822965
80182,80,Cayeux-sur-Mer,1.5052701145309264,50.18492777123408,3379,80410,1.487602,50.157213,1.565863,50.215347
80183,80,Cerisy-Buleux,1.7379753785714283,49.97637083571427,140,80140,1.730513,49.96883,1.750754,49.980302
80184,80,Cerisy,2.62954997304582,49.90699106199463,371,80800,2.611175,49.901232,2.643804,49.912072
80185,80,Champien,2.8621364347826095,49.69489888405793,138,80700,2.852033,49.69204,2.867944,49.697506
80186,80,Chaulnes,2.8032851575817648,49.81515903171461,1009,80320,2.791643,49.804411,2.813267,49.822459
80187,80,La Chaussée-Tirancourt,2.149065958448751,49.953712487534624,361,80310,2.138478,49.948827,2.171888,49.974742
80188,80,Chaussoy-Epagny,2.337951111111112,49.72389669230769,351,80250,2.313998,49.710933,2.353012,49.735954
80189,80,La Chavatte,2.766684259259259,49.756982703703706,27,80700,2.764477,49.755577,2.772773,49.757526
80190,80,Chépy,1.6460627524115763,50.06376569292603,622,80210,1.622874,50.052719,1.666397,50.086531
80191,80,Chilly,2.7668448775510197,49.79394727551021,98,80170,2.763121,49.78986,2.771888,49.796626
80192,80,Chipilly,2.646660611428573,49.91012945714286,175,80800,2.631625,49.900333,2.666434,49.925114
80193,80,Chirmont,2.3840101547619046,49.71242784523809,84,80250,2.35485,49.710264,2.389104,49.714003
80194,80,Chuignes,2.7530417215189877,49.900141101265845,79,80340,2.748906,49.897127,2.756693,49.901836
80195,80,Chuignolles,2.7251490543478267,49.90060338043475,92,80340,2.719615,49.896788,2.729736,49.903818
80196,80,Citerne,1.8229708157894722,49.981826697368405,152,80490,1.808172,49.977042,1.833563,49.985721
80197,80,Cizancourt,2.922916620689656,49.84537172413793,29,80200,2.918073,49.842772,2.925295,49.847464
80198,80,Clairy-Saulchoix,2.1789393728813553,49.85571795480225,177,80540,2.139412,49.849785,2.184795,49.860177
80199,80,Cléry-sur-Somme,2.88725686875,49.95600342187498,320,80200,2.857639,49.941984,2.909126,49.985982
80200,80,Cocquerel,1.9537452155688622,50.04464991017963,167,80510,1.928338,50.040473,1.977418,50.054448
80201,80,Coigneux,2.551460638297873,50.130442553191486,47,80560,2.547587,50.126841,2.556159,50.134178
80202,80,Coisy,2.327438546341462,49.95972722439023,205,80260,2.314926,49.949172,2.350283,49.966998
80203,80,Colincamps,2.602936213114755,50.10057160655738,61,80560,2.597339,50.095887,2.609002,50.106329
80204,80,Combles,2.8656281991614234,50.00926505450732,477,80360,2.850419,50.002777,2.897891,50.018948
80205,80,Condé-Folie,2.017132126079446,50.009227718480176,579,80890,2.00442,50.004854,2.039657,50.018514
80206,80,Contalmaison,2.7308515757575753,50.02487018181819,66,80300,2.726646,50.018985,2.749395,50.042921
80207,80,Contay,2.477315885714286,50.004768405714294,175,80560,2.470681,49.998718,2.483558,50.010464
